許可證字號,形狀,顏色
衛署藥製字第049971號,膠囊,藍;;;粉
衛署藥製字第049992號,圓形,黃
衛署藥製字第050005號,膠囊,黃;;;白
衛署藥製字第050008號,圓形,藍
衛署藥製字第050010號,圓形,白
衛署藥製字第050015號,圓形,白
衛署藥製字第050016號,橢圓形,黃
衛署藥製字第050027號,圓形,白
衛署藥製字第050030號,橢圓形,黃
衛署藥製字第050032號,橢圓形,白
衛署藥製字第050033號,液劑(包含糖漿用粉劑),白
衛署藥製字第050036號,膠囊,橘;;;橘
衛署藥製字第050037號,圓形,白
衛署藥製字第050043號,圓形,白
衛署藥製字第050054號,圓形,紅
衛署藥製字第050058號,膠囊,綠;;;綠
衛署藥製字第050061號,其他,黃
衛署藥製字第050083號,圓形,橘
衛署藥製字第050084號,圓形,白
衛署藥製字第050087號,橢圓形,白
衛署藥製字第050095號,圓形,紅
衛署藥製字第050101號,膠囊,藍;;;藍
衛署藥製字第050114號,膠囊,紅;;;紅
衛署藥製字第050116號,圓形,黃
衛署藥製字第050123號,橢圓形,白
衛署藥製字第050126號,圓形,粉
衛署藥製字第050127號,橢圓形,粉
衛署藥製字第050130號,圓形,白
衛署藥製字第050135號,圓形,白
衛署藥製字第050136號,圓形,白
衛署藥製字第050138號,圓形,紅
衛署藥製字第050140號,橢圓形,灰;;;灰
衛署藥製字第050142號,圓形,白
衛署藥製字第050145號,橢圓形,白
衛署藥製字第050152號,橢圓形,白
衛署藥製字第050154號,膠囊,藍;;;橘
衛署藥製字第050155號,膠囊,藍;;;藍
衛署藥製字第050165號,圓形,白
衛署藥製字第050168號,膠囊,粉;;;白
衛署藥製字第050175號,膠囊,橘;;;白
衛署藥製字第050177號,雙圓形,白
衛署藥製字第050179號,圓形,白
衛署藥製字第050182號,圓形,綠
衛署藥製字第050189號,膠囊,紅;;;白
衛署藥製字第050210號,圓形,白
衛署藥製字第050211號,膠囊,橘;;;橘
衛署藥製字第050221號,膠囊,紅;;;白
衛署藥製字第050223號,圓形,白
衛署藥製字第050227號,圓形,黃
衛署藥製字第050240號,橢圓形,白
衛署藥製字第050241號,圓形,粉
衛署藥製字第050251號,六邊形,橘
衛署藥製字第050254號,四邊形,白
衛署藥製字第050261號,圓形,白
衛署藥製字第050273號,圓形,黃
衛署藥製字第050340號,橢圓形,白
衛署藥製字第050423號,圓形,橘
衛署藥製字第050769號,四邊形,白
衛署藥製字第050771號,顆粒劑、粉劑或散劑,棕;;;黃
衛署藥製字第050866號,膠囊,藍;;;棕
衛署藥製字第050874號,橢圓形,粉
衛署藥製字第050876號,圓形,白
衛署藥製字第050881號,顆粒劑、粉劑或散劑,黃
衛署藥製字第051027號,膠囊,紅;;;白
衛署藥製字第051029號,雙圓形,白
衛署藥製字第051192號,圓形,白
衛署藥製字第051198號,四邊形,白
衛署藥製字第051386號,橢圓形,橘
衛署藥製字第051389號,圓形,白
衛署藥製字第051522號,其他,透明
衛署藥製字第051523號,橢圓形,黃
衛署藥製字第051524號,膠囊,白;;;白
衛署藥製字第051597號,橢圓形,白
衛署藥製字第051598號,橢圓形,白
衛署藥製字第051718號,圓形,黃
衛署藥製字第051719號,圓形,粉
衛署藥製字第051728號,四邊形,白
衛署藥製字第051732號,橢圓形,白
衛署藥製字第052113號,雙圓形,藍
衛署藥製字第052301號,橢圓形,白
衛署藥製字第052305號,圓形,白
衛署藥製字第052308號,圓形,黃
衛署藥製字第052337號,四邊形,白
衛署藥製字第052345號,膠囊,紅
衛署藥製字第052354號,橢圓形,白
衛署藥製字第052357號,橢圓形,粉
衛署藥製字第052428號,圓形,白
衛署藥製字第052432號,膠囊,橘;;;橘
衛署藥製字第052434號,膠囊,白;;;紅
衛署藥製字第052436號,水滴形,白
衛署藥製字第052462號,圓形,白
衛署藥製字第052475號,膠囊,灰;;;灰
衛署藥製字第052479號,橢圓形,橘
衛署藥製字第052481號,膠囊,綠;;;白
衛署藥製字第052485號,橢圓形,白
衛署藥製字第052520號,八邊形,白
衛署藥製字第052522號,圓形,粉
衛署藥製字第052530號,橢圓形,白
衛署藥製字第052531號,膠囊,白;;;白
衛署藥製字第052532號,橢圓形,白
衛署藥製字第052533號,圓形,白
衛署藥製字第052537號,橢圓形,白
衛署藥製字第052554號,橢圓形;;;橢圓形,白;;;粉
衛署藥製字第052557號,圓形,白
衛署藥製字第052559號,圓形,黃
衛署藥製字第052581號,橢圓形,黃
衛署藥製字第052588號,橢圓形,黃
衛署藥製字第052594號,橢圓形,橘
衛署藥製字第052595號,圓形,粉
衛署藥製字第052614號,橢圓形,白
衛署藥製字第052615號,橢圓形,黃
衛署藥製字第052616號,橢圓形,白
衛署藥製字第052617號,圓形,白
衛署藥製字第054857號,雙圓形,藍
衛署藥製字第054967號,橢圓形,白
衛署藥製字第054977號,圓形,紫
衛署藥製字第054979號,橢圓形,黃
衛署藥製字第054990號,橢圓形,黃
衛署藥製字第055002號,膠囊,藍;;;藍
衛署藥製字第055005號,圓形,紫
衛署藥製字第055012號,圓形,白
衛署藥製字第055019號,膠囊,橘;;;透明
衛署藥製字第055026號,圓形,粉
衛署藥製字第055028號,橢圓形,白
衛署藥製字第055033號,顆粒劑、粉劑或散劑,粉
衛署藥製字第055051號,圓形,白
衛署藥製字第055054號,圓形,黃
衛署藥製字第055055號,橢圓形;;;橢圓形,橘;;;灰
衛署藥製字第055103號,圓形,白
衛署藥製字第055104號,圓形,橘
衛署藥製字第055108號,圓形,橘
衛署藥製字第055109號,顆粒劑、粉劑或散劑,白
衛署藥製字第055118號,膠囊,白;;;白
衛署藥製字第055119號,膠囊,橘;;;黃
衛署藥製字第055225號,膠囊,黃;;;黃
衛署藥製字第055227號,四邊形,粉
衛署藥製字第055232號,膠囊,藍;;;藍
衛署藥製字第055244號,圓形,白
衛署藥製字第055252號,液劑(包含糖漿用粉劑),透明
衛署藥製字第055253號,圓形,黃
衛署藥製字第055263號,顆粒劑、粉劑或散劑,白
衛署藥製字第055265號,橢圓形,白
衛署藥製字第055271號,圓形,橘
衛署藥製字第055283號,橢圓形,黃
衛署藥製字第055284號,圓形,紫
衛署藥製字第055293號,其他,黃
衛署藥製字第055294號,液劑(包含糖漿用粉劑),透明
衛署藥製字第055296號,橢圓形,白
衛署藥製字第055301號,,
衛署藥製字第055406號,其他,黃
衛署藥製字第055408號,圓形,白
衛署藥製字第055414號,圓形,橘
衛署藥製字第055417號,膠囊,灰;;;粉
衛署藥製字第055418號,圓形,白
衛署藥製字第055420號,四邊形,白
衛署藥製字第055426號,橢圓形,白
衛署藥製字第055428號,圓形,粉
衛署藥輸字第024690號,水滴形,藍
衛署藥輸字第024716號,圓形,黃
衛署藥輸字第024725號,雙圓形,綠
衛署藥輸字第024727號,圓形,紅;;;紅
衛署藥輸字第024731號,四邊形,黃
衛署藥輸字第024732號,四邊形,白
衛署藥輸字第024735號,圓形,橘
衛署藥輸字第024750號,圓形,白
衛署藥輸字第024769號,四邊形,藍
衛署藥輸字第024770號,圓形,白
衛署藥輸字第024772號,圓形,白
衛署藥輸字第024794號,橢圓形,白
衛署藥輸字第024801號,膠囊,紅
衛署藥輸字第024813號,圓形,白
衛署藥輸字第024824號,圓形,黃
衛署藥輸字第024832號,膠囊,白
衛署藥輸字第024834號,膠囊,黃;;;黃
衛署藥輸字第024849號,,
衛署藥輸字第024876號,橢圓形,白
衛署藥輸字第024878號,橢圓形,黃
衛署藥輸字第024882號,圓形,白
衛署藥輸字第024885號,橢圓形,白
衛署藥輸字第024886號,四邊形,黃
衛署藥輸字第024887號,四邊形,黃
衛署藥輸字第024894號,膠囊,黃;;;橘
衛署藥輸字第024895號,膠囊,紅;;;橘
衛署藥輸字第024896號,膠囊,白;;;橘
衛署藥輸字第024898號,圓形,白
衛署藥輸字第024905號,其他,
衛署藥輸字第024914號,膠囊,紫
衛署藥輸字第024917號,圓形,粉
衛署藥輸字第024929號,圓形,白
衛署藥輸字第024951號,六邊形,白
衛署藥輸字第024952號,六邊形,白
衛署藥輸字第024959號,橢圓形,粉
衛署藥輸字第024962號,顆粒劑、粉劑或散劑,白
衛署藥輸字第024979號,圓形,黃
衛署藥輸字第024988號,橢圓形,粉
衛署藥輸字第024995號,膠囊,橘;;;白
衛署藥輸字第024998號,圓形,黃
